Category: All categories

Week,philips: (Australia)
2015-01-25,45
2015-02-01,42
2015-02-08,47
2015-02-15,42
2015-02-22,47
2015-03-01,45
2015-03-08,40
2015-03-15,44
2015-03-22,42
2015-03-29,46
2015-04-05,53
2015-04-12,54
2015-04-19,53
2015-04-26,57
2015-05-03,54
2015-05-10,54
2015-05-17,49
2015-05-24,49
2015-05-31,52
2015-06-07,51
2015-06-14,49
2015-06-21,52
2015-06-28,52
2015-07-05,48
2015-07-12,53
2015-07-19,47
2015-07-26,52
2015-08-02,48
2015-08-09,46
2015-08-16,48
2015-08-23,53
2015-08-30,55
2015-09-06,46
2015-09-13,43
2015-09-20,50
2015-09-27,48
2015-10-04,48
2015-10-11,50
2015-10-18,48
2015-10-25,45
2015-11-01,51
2015-11-08,45
2015-11-15,47
2015-11-22,60
2015-11-29,66
2015-12-06,60
2015-12-13,62
2015-12-20,75
2015-12-27,77
2016-01-03,53
2016-01-10,44
2016-01-17,51
2016-01-24,51
2016-01-31,43
2016-02-07,42
2016-02-14,46
2016-02-21,49
2016-02-28,48
2016-03-06,44
2016-03-13,56
2016-03-20,43
2016-03-27,47
2016-04-03,53
2016-04-10,50
2016-04-17,55
2016-04-24,54
2016-05-01,54
2016-05-08,52
2016-05-15,54
2016-05-22,50
2016-05-29,52
2016-06-05,50
2016-06-12,48
2016-06-19,51
2016-06-26,48
2016-07-03,50
2016-07-10,47
2016-07-17,52
2016-07-24,49
2016-07-31,49
2016-08-07,44
2016-08-14,48
2016-08-21,48
2016-08-28,48
2016-09-04,42
2016-09-11,45
2016-09-18,47
2016-09-25,46
2016-10-02,44
2016-10-09,45
2016-10-16,48
2016-10-23,47
2016-10-30,48
2016-11-06,48
2016-11-13,59
2016-11-20,58
2016-11-27,57
2016-12-04,59
2016-12-11,61
2016-12-18,57
2016-12-25,81
2017-01-01,59
2017-01-08,57
2017-01-15,57
2017-01-22,47
2017-01-29,52
2017-02-05,44
2017-02-12,43
2017-02-19,41
2017-02-26,42
2017-03-05,46
2017-03-12,49
2017-03-19,51
2017-03-26,47
2017-04-02,48
2017-04-09,52
2017-04-16,47
2017-04-23,55
2017-04-30,53
2017-05-07,56
2017-05-14,53
2017-05-21,48
2017-05-28,48
2017-06-04,53
2017-06-11,56
2017-06-18,55
2017-06-25,56
2017-07-02,50
2017-07-09,54
2017-07-16,48
2017-07-23,52
2017-07-30,55
2017-08-06,49
2017-08-13,54
2017-08-20,55
2017-08-27,51
2017-09-03,51
2017-09-10,48
2017-09-17,49
2017-09-24,45
2017-10-01,51
2017-10-08,43
2017-10-15,48
2017-10-22,47
2017-10-29,49
2017-11-05,48
2017-11-12,54
2017-11-19,60
2017-11-26,56
2017-12-03,59
2017-12-10,62
2017-12-17,63
2017-12-24,92
2017-12-31,65
2018-01-07,59
2018-01-14,55
2018-01-21,53
2018-01-28,54
2018-02-04,46
2018-02-11,49
2018-02-18,43
2018-02-25,47
2018-03-04,51
2018-03-11,47
2018-03-18,51
2018-03-25,49
2018-04-01,51
2018-04-08,54
2018-04-15,50
2018-04-22,59
2018-04-29,63
2018-05-06,64
2018-05-13,59
2018-05-20,55
2018-05-27,55
2018-06-03,60
2018-06-10,57
2018-06-17,62
2018-06-24,59
2018-07-01,55
2018-07-08,60
2018-07-15,60
2018-07-22,61
2018-07-29,53
2018-08-05,50
2018-08-12,58
2018-08-19,56
2018-08-26,54
2018-09-02,48
2018-09-09,54
2018-09-16,58
2018-09-23,55
2018-09-30,55
2018-10-07,57
2018-10-14,52
2018-10-21,53
2018-10-28,52
2018-11-04,50
2018-11-11,56
2018-11-18,71
2018-11-25,66
2018-12-02,60
2018-12-09,70
2018-12-16,76
2018-12-23,99
2018-12-30,70
2019-01-06,59
2019-01-13,54
2019-01-20,54
2019-01-27,57
2019-02-03,59
2019-02-10,53
2019-02-17,53
2019-02-24,49
2019-03-03,59
2019-03-10,48
2019-03-17,49
2019-03-24,54
2019-03-31,54
2019-04-07,67
2019-04-14,59
2019-04-21,63
2019-04-28,74
2019-05-05,66
2019-05-12,62
2019-05-19,60
2019-05-26,62
2019-06-02,60
2019-06-09,62
2019-06-16,66
2019-06-23,65
2019-06-30,68
2019-07-07,65
2019-07-14,69
2019-07-21,61
2019-07-28,59
2019-08-04,63
2019-08-11,56
2019-08-18,63
2019-08-25,62
2019-09-01,60
2019-09-08,61
2019-09-15,56
2019-09-22,55
2019-09-29,55
2019-10-06,56
2019-10-13,51
2019-10-20,51
2019-10-27,52
2019-11-03,55
2019-11-10,58
2019-11-17,65
2019-11-24,84
2019-12-01,85
2019-12-08,75
2019-12-15,79
2019-12-22,100
2019-12-29,78
2020-01-05,72
2020-01-12,65
2020-01-19,60
